,jd,RA,Decl,magsky
479,2456244.83,103.00783333,-0.45597222,22.0016782727
480,2456244.83,102.970875,-0.36694444,22.6637228264
481,2456244.84,72.92666667,-0.16927778,22.2680580242
482,2456702.72474,103.078625,-0.39241667,18.2445031236
483,2456702.72474,103.04141667,-0.39219444,18.2610009581
484,2456702.72474,103.02004167,-0.36541667,18.2549360546
485,2456702.72474,103.01404167,-0.45508333,18.2381323245
486,2456702.72474,103.0095,-0.35438889,18.2538882017
487,2456702.72474,103.00783333,-0.45597222,18.2318777092
488,2456702.72474,102.995875,-0.35877778,18.2564693153
489,2456702.72474,102.970875,-0.36694444,18.2604334055
490,2456702.72474,102.95654167,-0.35436111,18.2555813806
491,2456702.72474,102.92904167,-0.37191667,18.253566055
492,2456702.72474,102.915625,-0.44497222,18.2492256078
493,2456702.72474,102.91625,-0.42830556,18.253404956
494,2456702.72474,102.91883333,-0.36641667,18.2488246951
495,2456702.72474,102.91258333,-0.44341667,18.2588946639
496,2456702.54088,73.24525,-0.24480556,19.1917138058
497,2456246.59,14.19525,0.64191667,22.4662105343
498,2456246.69,58.23958333,-0.00533333,22.5928449802
499,2456246.69,58.25095833,0.047,22.5030635675
500,2456246.69,58.25325,0.00441667,22.4608117303
501,2456246.69,58.26725,0.04727778,22.3656498682
502,2456246.69,58.28158333,0.01972222,22.6406824611
503,2456247.69,44.44575,0.26741667,22.3857647261
504,2456247.71,58.30516667,0.273,22.3812614635
505,2456247.71,58.33579167,0.27630556,22.5205665466
506,2456249.51,28.65720833,0.71680556,19.450468894
507,2456249.51,28.77175,0.76180556,19.4678353362
508,2456249.51,28.65720833,0.71680556,19.7703608058
509,2456249.51,28.77175,0.76180556,19.783797654
510,2456249.64,28.65720833,0.71680556,22.4028738006
511,2456249.64,28.77175,0.76180556,22.6008269004
512,2456249.61,73.24525,-0.24480556,21.9037775699
513,2456250.51,28.65720833,0.71680556,18.4294074647
514,2456250.51,28.77175,0.76180556,18.4317090229
515,2456250.64,44.3385,0.31080556,21.8013367554
516,2456250.64,44.44575,0.26741667,21.8785771496
